Shift,Incident,Machine,Area / Cause,Reason / Fault,Time (minutes),Comments,Line No,status,Year,Month,Day,Hour,DayOfWeek,IsWeekend,Lag1_Time,Lag2_Time,Failure,time_between_failure,time_between_failure_minutes
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,5,26,8,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,8,17,17,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,7,10,17,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,6,26,2,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,12,4,17,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,7,22,18,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,8,11,0,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,10,9,11,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,11,7,12,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,3,10,0,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2022,11,29,16,1,False,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,17.0,,2024,2,2,6,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,10,7,17,5,True,,,0,,
